"Pathogen","ATC.Class","Total.Isolates","Percent.Resistant.Isolates","Antibiotic.Consumption","PC1","PC2","PC3","GDP"
"P. aeruginosa","J01M",258444,29.1886284577475,1.84802569373073,0.128547991513128,-6.62416295361969,0.981235726633646,41616.2433524383
"Proteus spp.","J01A",4,0,1.36566666666667,1.00918375301732,-7.52384352050407,1.08266284862107,45226.296315
"Proteus spp.","J01C",16,12.5,7.693,1.00918375301732,-7.52384352050407,1.08266284862107,45226.296315
"Proteus spp.","J01D",28,0,2.45366666666667,1.00918375301732,-7.52384352050407,1.08266284862107,45226.296315
"Proteus spp.","J01E",4,16.6666666666667,0.286666666666667,1.00918375301732,-7.52384352050407,1.08266284862107,45226.296315
"Proteus spp.","J01G",8,0,0.0713333333333333,1.00918375301732,-7.52384352050407,1.08266284862107,45226.296315
"Proteus spp.","J01M",8,50,1.61166666666667,1.00918375301732,-7.52384352050407,1.08266284862107,45226.296315
"S. agalactiae","J01A",42464,25.2377268798619,1.89278219533276,-0.329290302734973,-5.89511835138406,0.99455013550338,38962.8771677297
"S. agalactiae","J01C",40115,0,7.13061338289963,-0.32962991137385,-5.88797434301379,0.995626852350381,39303.4754055349
"S. agalactiae","J01D",46971,0,2.82199242424242,-0.198712084187755,-6.14163868775521,0.97419661371041,38847.211213588
"S. agalactiae","J01F",6577,22.9999632352941,2.90940625,-0.0458515388134694,-6.47106473798026,0.929871816025282,38167.4999273306
"S. agalactiae","J01M",21629,3.84433774834438,1.83835430463576,-0.320616082350398,-5.91793462316967,0.989451377575678,39020.9251565323
"S. aureus","J01A",233066,0.903355102040826,1.8584506122449,-0.518606443683612,-5.58959603800846,0.995789850924855,37934.1168332648
"S. aureus","J01C",883624,29.9134369251378,8.08223490813648,0.849685410818925,-7.85539458162982,0.961529198739602,44674.5902885179
"S. aureus","J01D",68020,0.0381954887218046,2.93501503759398,-0.00626311033471616,-6.50834837742843,0.931767468207244,38632.6394782301
"S. aureus","J01E",47564,3.1460103626943,0.591575129533679,0.0481509141018407,-6.63235472757205,0.910919003574089,38938.0007490694
"S. aureus","J01F",137027,30.9889426523298,2.86998745519713,-0.137680054635224,-6.30244889560446,0.929007491287313,37850.4583291317
"S. aureus","J01G",47564,13.4820725388601,0.126238341968912,0.0481509141018407,-6.63235472757205,0.910919003574089,38938.0007490694
"S. aureus","J01M",181241,31.7287089201878,1.8589765258216,-0.371660429936579,-5.84955170278035,0.980075002418223,38081.8351582279
"S. pneumoniae","J01A",38131,0,1.89166611842105,-0.277750929018384,-5.98827421579647,0.986864025601738,39321.9277893126
"S. pneumoniae","J01C",295035,9.75581484132381,7.41731024930748,0.0707319045336733,-6.50976947974286,1.00029777640768,41522.4664233472
"S. pneumoniae","J01D",125740,4.4956204849858,2.79537874659401,-0.183501686253279,-6.1490592593384,0.978053995253624,39291.4000016026
"S. pneumoniae","J01E",3110,22.8484819786895,0.9465,-3.15020059800097,-1.30907962768735,0.848760132275995,20309.595711625
"S. pneumoniae","J01F",321157,26.6846839336293,3.07281041666667,-0.0498324138308907,-6.32389100016163,0.997411439865281,41001.629411016
"S. pneumoniae","J01M",51887,0.770269277845776,1.85787515299878,-0.177901661286202,-6.16522288050066,0.977779566714945,39180.3833656555
"S. pyogenes","J01A",19422,0.464520000000002,1.854814,0.0500430754537455,-6.59024465622656,0.942332266717261,38904.47981086
"S. pyogenes","J01C",11966,0,7.87820909090909,0.259412811597456,-6.88787275996359,0.935909404952671,40997.4676064818
"S. pyogenes","J01D",38096,0,2.93402488479263,0.0841228251509716,-6.65467347937561,0.941212355473992,38907.2209933881
"S. pyogenes","J01F",16500,9.71625482625482,2.94567953667954,0.11260082289476,-6.71643332077367,0.934889544743032,39024.1054159741
"S. pyogenes","J01M",10108,0.246981818181818,1.94298909090909,0.0544880192704644,-6.60764617932847,0.936695583546251,39109.871563004
"Salmonella spp.","J01C",1,100,5.189,-4.77724838280087,0.958676877650451,0.913632231442414,9311.531314
"Salmonella spp.","J01D",42415,3.29513892442201,3.75364383561644,-1.14010998119667,-4.40902487231326,0.92626883233032,39240.0955244925
"Salmonella spp.","J01E",1,0,0.113,-4.77724838280087,0.958676877650451,0.913632231442414,9311.531314
"Salmonella spp.","J01M",21704,14.6085045430719,2.1016,-1.51782033602267,-3.92542735057502,0.916584687329678,35304.7193407931
"Shigella spp.","J01D",6353,2.48545084539465,1.4222,-1.38799441049873,-3.83092859692492,0.929468402453511,29375.117774
"Shigella spp.","J01F",1900,2.1540108615586,2.525,-1.04232110138504,-3.45651430833457,0.854651741519128,27851.009635
"Shigella spp.","J01M",6965,9.17521154413205,1.83316666666667,-0.62815281580823,-5.04989484683055,0.986358930963345,34814.3910266667
NA,"J01C",3,0,7.387,0.263314167099347,-5.96245902724812,1.0904884105984,60798.43384
