,country,study,doi,subregion,start_year,end_year,class_consumed,ab_consumed,amt_consumed,percent_isolates_resistant,notes,pathogen,ab_for_resistance,class_for_resistance,ab_setting,pathogen_setting,units,Region,income_group
46,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,0,DDD/1000 inhabitants/day,E. coli,Fosfomycin,J01XX Other antibacterials,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
47,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Quinolones,Quinolones,1,0,DDD/1000 inhabitants/day,E. coli,Fosfomycin,J01XX Other antibacterials,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
48,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,2,DDD/1000 inhabitants/day,E. coli,Co-Amoxiclav,"Beta lactam antibacterials, penicillins",community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
49,Austria,Antimicrobial drug use and resistance in Europe,10.3201/eid1411.070467,Austria,2004,2004,"Beta lactam antibacterials, penicillins",Penicillin,5,5,"DDD/1000 inhabitants/ day, DDD in 2004, resistance in 2005",S. pneumoniae,Penicillin,"Beta lactam antibacterials, penicillins",hospital + community,Community + Hospital,DDD/1000 inhabitants/day,Europe & Central Asia,High income
50,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Sulfonamide and Trimethoprim,Sulfonamide and Trimethoprim,1,0,DDD/1000 inhabitants/day,E. coli,Gentamicin,Aminoglycosides,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
51,Austria,Outpatient antibiotic use in Europe and association with resistance: a cross-national database study,10.1016/S0140-6736(05)17907-0,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",5,3,DDD/1000 inhabitants/day,S. pneumoniae,Penicillin,"Beta lactam antibacterials, penicillins",community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
52,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,1,DDD/1000 inhabitants/day,E. coli,Mecillinam,Mecillinam,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
53,Austria,The use and resistance to antibiotics in the community,10.1016/s0924-8579(02)00394-1,Austria,1997,1998,"Macrolides, Lincosamides and Streptogramins","Macrolides, Lincosamides and Streptogramins",3,11,DDD/1000 inhabitants/day  ,S. pneumoniae,Erythromycin,"Macrolides, Lincosamides and Streptogramins",community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
54,Austria,Antibiotic exposure and other risk factors for antimicrobial resistance in nasal commensal Staphylococcus aureus: An ecological study in 8 European countries,https://doi.org/10.1371/journal.pone.0135094,Austria,2010,2011,Sulfonamide and Trimethoprim,Sulfonamide and Trimethoprim,NA,0,Only relaying %resistance no ddd/patient/pop or any dosing per country ,S. aureus,NA,Sulfonamide and Trimethoprim,hospital,Community,NA,Europe & Central Asia,High income
55,Austria,Antibiotic exposure and other risk factors for antimicrobial resistance in nasal commensal Staphylococcus aureus: An ecological study in 8 European countries,https://doi.org/10.1371/journal.pone.0135094,Austria,2010,2011,"Macrolides, Lincosamides and Streptogramins",Azithromycin,NA,13,Only relaying %resistance no ddd/patient/pop or any dosing per country ,S. aureus,NA,"Macrolides, Lincosamides and Streptogramins",hospital,Community,NA,Europe & Central Asia,High income
56,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,2,DDD/1000 inhabitants/day,E. coli,Co-Amoxiclav,"Beta lactam antibacterials, penicillins",community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
