,country,study,doi,subregion,start_year,end_year,class_consumed,ab_consumed,amt_consumed,percent_isolates_resistant,notes,pathogen,ab_for_resistance,class_for_resistance,ab_setting,pathogen_setting,units,Region,income_group
1545,China,Successful control of resistance in Pseudomonas aeruginosa using antibiotic stewardship and infection control programs at a Chinese university Hospital: a 6-year prospective study,https://doi.org/10.2147/IDR.S163853,China,NA,2014,"Beta lactam antibacterials, penicillins",Piperacillin-Tazobactam,43,7,"DDD/1000 patients days, antimicrobial agent use averaged together, not individual",P. aeruginosa,NA,"Beta lactam antibacterials, penicillins",hospital,Hospital + community,DDD/1000 inhabitants/day,East Asia & Pacific,Upper middle income
1546,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (3GC excluding combinations with B-lactamse inhibitors consumption),6,24,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1547,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (3GC excluding combinations with B-lactamse inhibitors consumption),5,25,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1548,China,Successful control of resistance in Pseudomonas aeruginosa using antibiotic stewardship and infection control programs at a Chinese university Hospital: a 6-year prospective study,https://doi.org/10.2147/IDR.S163853,China,NA,2017,"Beta lactam antibacterials, penicillins",Piperacillin-Tazobactam,38,2,"DDD/1000 patients days, antimicrobial agent use averaged together, not individual",P. aeruginosa,NA,"Beta lactam antibacterials, penicillins",hospital,Hospital + community,DDD/1000 inhabitants/day,East Asia & Pacific,Upper middle income
1549,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),31,36,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1550,China,Successful control of resistance in Pseudomonas aeruginosa using antibiotic stewardship and infection control programs at a Chinese university Hospital: a 6-year prospective study,https://doi.org/10.2147/IDR.S163853,China,NA,2013,Cephalosporin (undefined and 1st/2nd gen),Cefoperazone/sulbactam,44,5,"DDD/1000 patients days, antimicrobial agent use averaged together, not individual",P. aeruginosa,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,DDD/1000 inhabitants/day,East Asia & Pacific,Upper middle income
1551,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),30,41,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1552,China,Successful control of resistance in Pseudomonas aeruginosa using antibiotic stewardship and infection control programs at a Chinese university Hospital: a 6-year prospective study,https://doi.org/10.2147/IDR.S163853,China,NA,2015,Cephalosporin (undefined and 1st/2nd gen),Cefoperazone/sulbactam,39,11,"DDD/1000 patients days, antimicrobial agent use averaged together, not individual",P. aeruginosa,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,DDD/1000 inhabitants/day,East Asia & Pacific,Upper middle income
1553,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),31,44,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1554,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),32,44,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1555,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),28,49,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1556,China,Successful control of resistance in Pseudomonas aeruginosa using antibiotic stewardship and infection control programs at a Chinese university Hospital: a 6-year prospective study,https://doi.org/10.2147/IDR.S163853,China,NA,2014,Carbapenems,Imipenem,43,28,"DDD/1000 patients days, antimicrobial agent use averaged together, not individual",P. aeruginosa,NA,Carbapenems,hospital,Hospital + community,DDD/1000 inhabitants/day,East Asia & Pacific,Upper middle income
1557,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),28,50,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1558,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (B-lactam-B-lactamase inhibitor combinations consumption),3,60,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1559,China,Successful control of resistance in Pseudomonas aeruginosa using antibiotic stewardship and infection control programs at a Chinese university Hospital: a 6-year prospective study,https://doi.org/10.2147/IDR.S163853,China,NA,2016,Carbapenems,Imipenem,38,15,"DDD/1000 patients days, antimicrobial agent use averaged together, not individual",P. aeruginosa,NA,Carbapenems,hospital,Hospital + community,DDD/1000 inhabitants/day,East Asia & Pacific,Upper middle income
1560,China,Successful control of resistance in Pseudomonas aeruginosa using antibiotic stewardship and infection control programs at a Chinese university Hospital: a 6-year prospective study,https://doi.org/10.2147/IDR.S163853,China,NA,2017,Carbapenems,Imipenem,38,17,"DDD/1000 patients days, antimicrobial agent use averaged together, not individual",P. aeruginosa,NA,Carbapenems,hospital,Hospital + community,DDD/1000 inhabitants/day,East Asia & Pacific,Upper middle income
1561,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),25,52,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1562,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),26,49,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1563,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),23,62,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1564,China,Successful control of resistance in Pseudomonas aeruginosa using antibiotic stewardship and infection control programs at a Chinese university Hospital: a 6-year prospective study,https://doi.org/10.2147/IDR.S163853,China,NA,2014,Tetracyclines,Tigecycline,43,1,"DDD/1000 patients days, antimicrobial agent use averaged together, not individual",P. aeruginosa,NA,Tetracyclines,hospital,Hospital + community,DDD/1000 inhabitants/day,East Asia & Pacific,Upper middle income
1565,China,Successful control of resistance in Pseudomonas aeruginosa using antibiotic stewardship and infection control programs at a Chinese university Hospital: a 6-year prospective study,https://doi.org/10.2147/IDR.S163853,China,NA,2015,Tetracyclines,Tigecycline,39,2,"DDD/1000 patients days, antimicrobial agent use averaged together, not individual",P. aeruginosa,NA,Tetracyclines,hospital,Hospital + community,DDD/1000 inhabitants/day,East Asia & Pacific,Upper middle income
1566,China,Successful control of resistance in Pseudomonas aeruginosa using antibiotic stewardship and infection control programs at a Chinese university Hospital: a 6-year prospective study,https://doi.org/10.2147/IDR.S163853,China,NA,2017,Tetracyclines,Tigecycline,38,2,"DDD/1000 patients days, antimicrobial agent use averaged together, not individual",P. aeruginosa,NA,Tetracyclines,hospital,Hospital + community,DDD/1000 inhabitants/day,East Asia & Pacific,Upper middle income
1567,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (B-lactams consumption),40,62,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1568,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),22,44,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1569,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),22,42,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1570,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (B-lactams consumption),27,42,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1571,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),25,44,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1572,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (B-lactams consumption),32,24,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1573,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (B-lactams consumption),33,43,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1574,China,A Nonlinear Time-Series Analysis to Identify the Thresholds in Relationships Between Antimicrobial Consumption and Resistance in a Chinese Tertiary Hospital,https://doi.org/10.1007/s40121-022-00608-w,China,NA,NA,Carbapenems,Carbapenems,26,7,DDD/ 1000 occupied bed days,A. baumannii,NA,Carbapenems,hospital,Hospital + community,DDD/1000 bed days,East Asia & Pacific,Upper middle income
1575,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),26,41,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1576,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),26,38,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1577,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),37,40,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1578,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (B-lactams consumption),32,37,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1579,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (3GC excluding combinations with B-lactamse inhibitors consumption),2,24,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1580,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),26,30,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1581,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),34,33,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1582,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),34,34,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1583,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (B-lactams consumption),31,49,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1584,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC,19,54,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1585,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC,20,54,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1586,China,Surveillance and correlation of antimicrobial usage and resistance of Pseudomonas aeruginosa: a Hospital population-based study,https://doi.org/10.1371/journal.pone.0078604,China,NA,2005,Aminoglycosides,Aminoglycosides,44,65,DDD/1000 patient days,P. aeruginosa,Gentamicin,Aminoglycosides,hospital,Hospital acquired!!,DDD/1000 patient days,East Asia & Pacific,Upper middle income
1587,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),30,52,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1588,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (B-lactams consumption),42,46,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1589,China,Surveillance and correlation of antimicrobial usage and resistance of Pseudomonas aeruginosa: a Hospital population-based study,https://doi.org/10.1371/journal.pone.0078604,China,NA,2008,Aminoglycosides,Aminoglycosides,32,57,DDD/1000 patient days,P. aeruginosa,Gentamicin,Aminoglycosides,hospital,Hospital acquired!!,DDD/1000 patient days,East Asia & Pacific,Upper middle income
1590,China,Surveillance and correlation of antimicrobial usage and resistance of Pseudomonas aeruginosa: a Hospital population-based study,https://doi.org/10.1371/journal.pone.0078604,China,NA,2009,Aminoglycosides,Aminoglycosides,37,59,DDD/1000 patient days,P. aeruginosa,Gentamicin,Aminoglycosides,hospital,Hospital acquired!!,DDD/1000 patient days,East Asia & Pacific,Upper middle income
1591,China,Surveillance and correlation of antimicrobial usage and resistance of Pseudomonas aeruginosa: a Hospital population-based study,https://doi.org/10.1371/journal.pone.0078604,China,NA,2010,Aminoglycosides,Aminoglycosides,75,68,DDD/1000 patient days,P. aeruginosa,Gentamicin,Aminoglycosides,hospital,Hospital acquired!!,DDD/1000 patient days,East Asia & Pacific,Upper middle income
1592,China,Surveillance and correlation of antimicrobial usage and resistance of Pseudomonas aeruginosa: a Hospital population-based study,https://doi.org/10.1371/journal.pone.0078604,China,NA,2011,Aminoglycosides,Aminoglycosides,24,73,DDD/1000 patient days,P. aeruginosa,Gentamicin,Aminoglycosides,hospital,Hospital acquired!!,DDD/1000 patient days,East Asia & Pacific,Upper middle income
1593,China,Surveillance and correlation of antimicrobial usage and resistance of Pseudomonas aeruginosa: a Hospital population-based study,https://doi.org/10.1371/journal.pone.0078604,China,NA,2003,Fluoroquinolones,Fluoroquinolones,24,32,DDD/1000 patient days,P. aeruginosa,Ciprofloxacin,Quinolones,hospital,Hospital acquired!!,DDD/1000 patient days,East Asia & Pacific,Upper middle income
1594,China,Surveillance and correlation of antimicrobial usage and resistance of Pseudomonas aeruginosa: a Hospital population-based study,https://doi.org/10.1371/journal.pone.0078604,China,NA,2004,Fluoroquinolones,Fluoroquinolones,21,34,DDD/1000 patient days,P. aeruginosa,Ciprofloxacin,Quinolones,hospital,Hospital acquired!!,DDD/1000 patient days,East Asia & Pacific,Upper middle income
1595,China,Surveillance and correlation of antimicrobial usage and resistance of Pseudomonas aeruginosa: a Hospital population-based study,https://doi.org/10.1371/journal.pone.0078604,China,NA,2005,Fluoroquinolones,Fluoroquinolones,22,36,DDD/1000 patient days,P. aeruginosa,Ciprofloxacin,Quinolones,hospital,Hospital acquired!!,DDD/1000 patient days,East Asia & Pacific,Upper middle income
1596,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (B-lactams consumption),43,51,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1597,China,A Nonlinear Time-Series Analysis to Identify the Thresholds in Relationships Between Antimicrobial Consumption and Resistance in a Chinese Tertiary Hospital,https://doi.org/10.1007/s40121-022-00608-w,China,NA,NA,Carbapenems,Carbapenems,16,3,DDD/1000 occupied bed days,Klebsiella spp.,NA,Carbapenems,hospital,Hospital + community,DDD/1000 bed days,East Asia & Pacific,Upper middle income
1598,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),21,51,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1599,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),25,56,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1600,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (B-lactams consumption),24,13,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1601,China,A Nonlinear Time-Series Analysis to Identify the Thresholds in Relationships Between Antimicrobial Consumption and Resistance in a Chinese Tertiary Hospital,https://doi.org/10.1007/s40121-022-00608-w,China,NA,NA,Carbapenems,Carbapenems,18,2,DDD/1000 occupied bed days,Klebsiella spp.,NA,Carbapenems,hospital,Hospital + community,DDD/1000 bed days,East Asia & Pacific,Upper middle income
1602,China,A Nonlinear Time-Series Analysis to Identify the Thresholds in Relationships Between Antimicrobial Consumption and Resistance in a Chinese Tertiary Hospital,https://doi.org/10.1007/s40121-022-00608-w,China,NA,NA,Carbapenems,Carbapenems,19,2,DDD/1000 occupied bed days,Klebsiella spp.,NA,Carbapenems,hospital,Hospital + community,DDD/1000 bed days,East Asia & Pacific,Upper middle income
1603,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC,6,39,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1604,China,A Nonlinear Time-Series Analysis to Identify the Thresholds in Relationships Between Antimicrobial Consumption and Resistance in a Chinese Tertiary Hospital,https://doi.org/10.1007/s40121-022-00608-w,China,NA,NA,Carbapenems,Carbapenems,19,1,DDD/1000 occupied bed days,Klebsiella spp.,NA,Carbapenems,hospital,Hospital + community,DDD/1000 bed days,East Asia & Pacific,Upper middle income
1605,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC (cephalopsporins consumption),23,65,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1606,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC,6,62,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1607,China,Association between the rate of third generation cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae and antibiotic consumption based on 143 Chinese tertiary Hospitals data in 2014,https://doi.org/10.1007/s10096-020-03856-1,China,NA,2014,Cephalosporin (undefined and 1st/2nd gen),3GC,10,45,NA,Klebsiella spp.,NA,Cephalosporin (undefined and 1st/2nd gen),hospital,Hospital + community,NA,East Asia & Pacific,Upper middle income
1608,China,A Nonlinear Time-Series Analysis to Identify the Thresholds in Relationships Between Antimicrobial Consumption and Resistance in a Chinese Tertiary Hospital,https://doi.org/10.1007/s40121-022-00608-w,China,NA,NA,Carbapenems,Carbapenems,21,1,DDD/1000 occupied bed days,Klebsiella spp.,NA,Carbapenems,hospital,Hospital + community,DDD/1000 bed days,East Asia & Pacific,Upper middle income
1609,China,A Nonlinear Time-Series Analysis to Identify the Thresholds in Relationships Between Antimicrobial Consumption and Resistance in a Chinese Tertiary Hospital,https://doi.org/10.1007/s40121-022-00608-w,China,NA,NA,Carbapenems,Carbapenems,25,9,DDD/ 1000 occupied bed days,A. baumannii,NA,Carbapenems,hospital,Hospital + community,DDD/1000 bed days,East Asia & Pacific,Upper middle income
