"Consumption","Resistance","Pathogen","DOI","Antibiotic","Weight","ISO3","PC1","PC2","PC3","GDP","Year"
29,21,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
28,20,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
450,20,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
476,16,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
11,26,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
27,20,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
25,22,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
28,25,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
31,18,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
30,17,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
25,17,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
25,19,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
32,26,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
27,19,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
113,23,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
55,79,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
70,9,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
114,19,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
52,20,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
22,12,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
19,21,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
20,16,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
568,4,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
22,16,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
535,7,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
533,12,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
