Year,Country,ISO3,Antimicrobial,DDD,Sector
2017,"United States",USA,Monobactams,968053.85,Hospital/Retail
2017,"United States",USA,"Narrow spectrum penicillins",44940231.01,Hospital/Retail
2017,"United States",USA,Others,4968301.74,Hospital/Retail
2017,"United States",USA,Oxazolidinones,3241940.44,Hospital/Retail
2017,"United States",USA,Rifampicin,0.00,Hospital/Retail
2017,"United States",USA,Tetracyclines,720963866.80,Hospital/Retail
2017,"United States",USA,Trimethoprim,206153452.32,Hospital/Retail
2017,Uruguay,URY,Aminoglycosides,89380.64,Retail
2017,Uruguay,URY,"Broad spectrum penicillins",10587797.43,Retail
2017,Uruguay,URY,Carbapenems,65363.71,Retail
2017,Uruguay,URY,Cephalosporins,3354897.65,Retail
2017,Uruguay,URY,Chloramphenicols,254.33,Retail
2017,Uruguay,URY,Fluoroquinolones,1828675.16,Retail
2017,Uruguay,URY,Glycopeptides,22256.50,Retail
2017,Uruguay,URY,Glycylcyclines,51.00,Retail
2017,Uruguay,URY,Macrolides,2889163.95,Retail
2017,Uruguay,URY,"Narrow spectrum penicillins",72326.08,Retail
2017,Uruguay,URY,Oxazolidinones,722.17,Retail
2017,Uruguay,URY,Rifampicin,10704.00,Retail
2017,Uruguay,URY,Tetracyclines,515426.78,Retail
2017,Uruguay,URY,Trimethoprim,691581.45,Retail
2017,Vietnam,VNM,Aminoglycosides,14574934.37,Hospital/Retail
2017,Vietnam,VNM,"Broad spectrum penicillins",407936707.73,Hospital/Retail
2017,Vietnam,VNM,Carbapenems,2087744.30,Hospital/Retail
2017,Vietnam,VNM,Cephalosporins,523493638.31,Hospital/Retail
2017,Vietnam,VNM,Chloramphenicols,11402118.28,Hospital/Retail
2017,Vietnam,VNM,Fluoroquinolones,246409840.96,Hospital/Retail
2017,Vietnam,VNM,Glycopeptides,631175.11,Hospital/Retail
2017,Vietnam,VNM,Glycylcyclines,5705.00,Hospital/Retail
2017,Vietnam,VNM,Lipopeptides,0.00,Hospital/Retail
2017,Vietnam,VNM,Macrolides,230190738.74,Hospital/Retail
2017,Vietnam,VNM,"Narrow spectrum penicillins",26860624.79,Hospital/Retail
2017,Vietnam,VNM,Others,28849.67,Hospital/Retail
2017,Vietnam,VNM,Oxazolidinones,438115.49,Hospital/Retail
2017,Vietnam,VNM,Phosphonics,397802.11,Hospital/Retail
2017,Vietnam,VNM,Tetracyclines,160782689.22,Hospital/Retail
2017,Vietnam,VNM,Trimethoprim,73559495.75,Hospital/Retail
2018,"Algeria ",DZA,Aminoglycosides,3492997.65,Retail
2018,"Algeria ",DZA,"Broad spectrum penicillins",370820772.01,Retail
2018,"Algeria ",DZA,Cephalosporins,58356104.69,Retail
2018,"Algeria ",DZA,Chloramphenicols,866.66,Retail
2018,"Algeria ",DZA,Fluoroquinolones,11549582.31,Retail
2018,"Algeria ",DZA,Macrolides,66824731.20,Retail
2018,"Algeria ",DZA,"Narrow spectrum penicillins",11093135.56,Retail
2018,"Algeria ",DZA,Others,5247336.83,Retail
2018,"Algeria ",DZA,Tetracyclines,28180596.27,Retail
2018,"Algeria ",DZA,Trimethoprim,8363976.70,Retail
2018,"Argentina ",ARG,Aminoglycosides,180763.50,Retail
2018,"Argentina ",ARG,"Broad spectrum penicillins",124732549.82,Retail
2018,"Argentina ",ARG,Carbapenems,33744.50,Retail
2018,"Argentina ",ARG,Cephalosporins,15662963.49,Retail
2018,"Argentina ",ARG,Chloramphenicols,0.00,Retail
2018,"Argentina ",ARG,Fluoroquinolones,25964108.12,Retail
2018,"Argentina ",ARG,Glycopeptides,7763.30,Retail
2018,"Argentina ",ARG,Glycylcyclines,375.00,Retail
2018,"Argentina ",ARG,Lipopeptides,312.50,Retail
2018,"Argentina ",ARG,Macrolides,36080783.00,Retail
2018,"Argentina ",ARG,Monobactams,93.50,Retail
2018,"Argentina ",ARG,"Narrow spectrum penicillins",2546504.00,Retail
2018,"Argentina ",ARG,Oxazolidinones,5295.00,Retail
2018,"Argentina ",ARG,Phosphonics,16874.43,Retail
2018,"Argentina ",ARG,Polymyxins,0.00,Retail
2018,"Argentina ",ARG,Rifampicin,498656.56,Retail
2018,"Argentina ",ARG,Tetracyclines,11402628.27,Retail
2018,"Argentina ",ARG,Trimethoprim,7073268.74,Retail
2018,Australia,AUS,Aminoglycosides,2154640.52,Hospital/Retail
2018,Australia,AUS,"Broad spectrum penicillins",74124789.63,Hospital/Retail
2018,Australia,AUS,Carbapenems,233857.00,Hospital/Retail
2018,Australia,AUS,Cephalosporins,34831213.32,Hospital/Retail
2018,Australia,AUS,Fluoroquinolones,5326203.86,Hospital/Retail
2018,Australia,AUS,Glycopeptides,457504.25,Hospital/Retail
2018,Australia,AUS,Glycylcyclines,4835.00,Hospital/Retail
2018,Australia,AUS,Lipopeptides,44529.28,Hospital/Retail
2018,Australia,AUS,Macrolides,24050791.63,Hospital/Retail
2018,Australia,AUS,Monobactams,7205.50,Hospital/Retail
2018,Australia,AUS,"Narrow spectrum penicillins",15112029.38,Hospital/Retail
2018,Australia,AUS,Others,206334.00,Hospital/Retail
2018,Australia,AUS,Oxazolidinones,30772.01,Hospital/Retail
2018,Australia,AUS,Tetracyclines,45581300.53,Hospital/Retail
2018,Australia,AUS,Trimethoprim,9859751.75,Hospital/Retail
2018,Austria,AUT,Aminoglycosides,272231.29,Hospital/Retail
2018,Austria,AUT,"Broad spectrum penicillins",19815285.22,Hospital/Retail
2018,Austria,AUT,Carbapenems,382651.08,Hospital/Retail
2018,Austria,AUT,Cephalosporins,6984283.88,Hospital/Retail
2018,Austria,AUT,Chloramphenicols,0.00,Hospital/Retail
2018,Austria,AUT,Fluoroquinolones,4958292.84,Hospital/Retail
2018,Austria,AUT,Glycopeptides,95056.29,Hospital/Retail
2018,Austria,AUT,Glycylcyclines,20351.00,Hospital/Retail
2018,Austria,AUT,Lipopeptides,46707.50,Hospital/Retail
2018,Austria,AUT,Macrolides,9648226.36,Hospital/Retail
2018,Austria,AUT,Monobactams,7841.25,Hospital/Retail
2018,Austria,AUT,"Narrow spectrum penicillins",3460028.75,Hospital/Retail
2018,Austria,AUT,Others,86415.92,Hospital/Retail
2018,Austria,AUT,Oxazolidinones,127031.04,Hospital/Retail
2018,Austria,AUT,Phosphonics,92596.59,Hospital/Retail
2018,Austria,AUT,Rifampicin,10110.00,Hospital/Retail
2018,Austria,AUT,Tetracyclines,4140844.34,Hospital/Retail
2018,Austria,AUT,Trimethoprim,959269.02,Hospital/Retail
2018,Belarus,BLR,Aminoglycosides,593033.20,Hospital/Retail
2018,Belarus,BLR,"Broad spectrum penicillins",31215543.88,Hospital/Retail
2018,Belarus,BLR,Carbapenems,651723.75,Hospital/Retail
2018,Belarus,BLR,Cephalosporins,9625701.26,Hospital/Retail
2018,Belarus,BLR,Chloramphenicols,230788.30,Hospital/Retail
