"Pathogen","ATC.Class","Total.Isolates","Percent.Resistant.Isolates","Antibiotic.Consumption","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","GDP"
"Enterococcus spp.","J01M",1117,28.6680136986301,2.03196917808219,-0.684531659772984,-6.14160153466532,0.866609831558623,-1.02961554533416,-0.737351682369739,-0.208465329821153,1.25017586705849,0.137061429188251,0.0650472035985198,-0.000796722182088255,38323.3805064444
"H. influenzae","J01A",27554,0.736230899830221,1.93149235993209,-0.558711621651422,-6.24032502194007,0.891224704149799,-0.764427633264041,-0.554014109084087,0.0930111303323736,0.424184146396225,0.117822243122394,-0.0272089936808386,-0.0235231122462721,39563.3926929929
"H. influenzae","J01C",29886,16.1050605305135,7.46454363376252,-0.454948847971407,-6.48321905554758,0.885365191237979,-0.902853446603325,-0.477675155885792,0.131361058984388,0.36608109726229,0.107480689408776,-0.0124551106260844,-0.0228242712241711,40028.269478594
"H. influenzae","J01D",43077,0,2.72898081023454,-0.383480201899982,-6.59941374801307,0.884829268989333,-0.97628812940764,-0.452032577670173,0.158560287227788,0.391451330316551,0.123170960896706,0.0130531327973025,-0.0498117736917872,40630.0778397472
"H. influenzae","J01F",1544,0,2.44440845070423,-0.938827301576736,-5.69714724685497,0.781446465236804,-0.720271204770574,-0.498227505912647,0.12421106144589,-0.0649908638733008,0.101148338997051,-0.218098189337222,0.147093893476938,36979.6904286567
"H. influenzae","J01M",27483,0,1.84917035775128,-0.557085498126217,-6.24513232953118,0.890724222700197,-0.764710298371537,-0.553758844585558,0.0924564509032777,0.421990314190671,0.116605039309396,-0.029084562086516,-0.0184259980996894,39574.0363795044
"K. pneumoniae","J01A",81185,12.7769319817232,1.86406527415144,-0.652736757271864,-6.03145510989637,0.891429584271367,-0.82297958543148,-0.598968314739281,7.32681750217442e-05,0.560856901541156,0.128138081649807,-0.0253995418755868,-0.0112624651082411,38081.0927571889
"K. pneumoniae","J01C",113118,85.8753207872535,7.18244554455446,-0.584541139341955,-6.05243105095413,0.906904606375789,-0.891118628563755,-0.542394141516821,0.0224697524683753,0.51640188875343,0.134812999396938,-0.0268002494084903,-0.0133827070512838,38804.1493351437
"K. pneumoniae","J01D",2536580,38.6478840859118,2.90132221594121,-0.216438298631388,-6.8932994764318,0.883544172386851,-1.08637635277409,-0.414402553379443,0.199394653127743,0.32827588702024,0.17617418014719,-0.0209277379755841,-0.0321069078676735,41258.0149931022
"K. pneumoniae","J01E",121919,42.3581955162271,0.518564705882353,-0.918389606967639,-5.73935463962346,0.785768116070868,0.164199071521422,-1.12286476690678,-0.197256061333626,0.666532647911472,-0.0632994944495904,-0.052559201302404,0.152106989381688,41135.8868727952
"K. pneumoniae","J01G",399963,16.671785541949,0.114722222222222,-0.182035358042996,-6.92406776186598,0.898439111123514,-1.2532329796475,-0.299858629339977,0.229591617801999,0.250948668338187,0.191296776508252,-0.0390101968614459,0.00780917775500805,41077.6590305893
"K. pneumoniae","J01M",952358,31.4399776081742,1.88751518218623,-0.252126510506423,-6.78572661388773,0.894705427151482,-1.12747324252597,-0.364962514014309,0.213958187414465,0.273256988337582,0.172032806289251,-0.0292158578635956,0.0106683856364105,40614.5284667064
"Morganella spp.","J01A",2899,3.73537878787879,1.82922348484848,-0.402566160724891,-6.60350141692252,0.812741431487197,-1.01166760430079,-0.559463650801359,-0.0243053185793262,0.744969126576645,0.0618059505396424,0.09780706142983,0.0207553739843835,38218.511411988
"Morganella spp.","J01C",2899,99.9051275356955,7.66357196969697,-0.402566160724891,-6.60350141692252,0.812741431487197,-1.01166760430079,-0.559463650801359,-0.0243053185793262,0.744969126576645,0.0618059505396424,0.09780706142983,0.0207553739843835,38218.511411988
"Morganella spp.","J01D",2899,75.9025067081894,2.92812121212121,-0.402566160724891,-6.60350141692252,0.812741431487197,-1.01166760430079,-0.559463650801359,-0.0243053185793262,0.744969126576645,0.0618059505396424,0.09780706142983,0.0207553739843835,38218.511411988
