"ISO3","Year","PC1","PC2","PC3","GDP"
"STP",2012,-6.38204536161033,3.92046964359353,1.03705356077478,4919.552944
"STP",2013,-6.29619361480148,3.80238384003556,1.02430614878049,5072.112002
"STP",2014,-6.21356499182299,3.67764434702612,1.01548104353414,5223.095729
"STP",2015,-6.13210576313054,3.54684189718454,1.01138653792555,5210.203776
"STP",2016,-6.03892212236388,3.40437033463848,1.0103785608507,5388.509133
"STP",2017,-5.9506361117561,3.25918372620955,1.01272967449894,5521.202496
"STP",2018,-5.86411029286798,3.11499560777267,1.0191724408766,5674.723791
"STP",2019,-5.78298439545832,2.97751734522071,1.02811633671917,5702.083471
"SAU",2001,-4.13542187932347,3.28031070690504,1.11102668996449,49143.09066
"SAU",2002,-4.26686268926721,3.21938345560857,0.89331469650554,46435.48144
"SAU",2003,-4.2936181030613,3.21405566146679,0.899254389388471,48152.59743
"SAU",2004,-4.30234852390399,3.16005654757276,0.901077798438741,49961.167
"SAU",2005,-4.49426888838016,2.54798375671159,0.721650005336655,50638.95058
"SAU",2006,-4.25906172390044,2.95431016301361,0.881646643276824,50124.521
"SAU",2007,-4.38983978573572,2.3997796718296,0.743534316205505,49151.65614
"SAU",2008,-4.33571314913669,2.19817036641786,0.691082732836342,50155.83402
"SAU",2009,-4.21478943806914,1.98746902539766,0.671239233606966,47715.74805
"SAU",2010,-4.08141927395951,1.8365382542249,0.662393827788514,50620.29207
"SAU",2011,-3.91324268436185,1.54155188982935,0.614876230853233,53692.30103
"SAU",2012,-3.72474931918836,1.22182569416627,0.561345162823856,54267.21329
"SAU",2013,-4.13086949956956,0.736489425242402,0.53760479346775,52711.6862
"SAU",2014,-3.29980876866763,0.409736435072499,0.402603021379244,53396.15243
"SAU",2015,-3.38330818962486,0.000483804109374838,0.366955846215662,52983.13776
"SAU",2016,-3.77465688817508,-0.29829841501926,0.397832893542335,51997.34268
"SAU",2017,-3.60351092196626,-0.464440946741996,0.383914590783868,52431.83923
"SAU",2018,-3.4698230353779,-0.636431658529602,0.395835680317955,55508.87306
"SAU",2019,-3.35881682099959,-0.890157574163488,0.400005738536557,56365.50855
"SEN",2001,-6.58034751047753,4.89670274266639,1.60461300922813,3149.331137
"SEN",2002,-6.55105160848567,4.82324742556726,1.59687994659841,3075.231575
"SEN",2003,-6.50871699267106,4.88804707794617,1.62473976678498,3170.034947
"SEN",2004,-6.62396331555558,4.60860142584286,1.32585095734004,3240.302017
"SEN",2005,-6.64378926472628,4.40406350370752,1.09385225965906,3301.820762
"SEN",2006,-6.60246216714428,4.32196640058632,1.08633731376427,3301.031524
"SEN",2007,-6.5118408806112,4.48697733748991,1.16619774155139,3316.420378
"SEN",2008,-6.51264586872689,4.1515729699421,1.06520299766867,3359.705671
"SEN",2009,-6.4558530493176,4.20454588847715,1.08825900878034,3371.461667
"SEN",2010,-6.42582247943109,3.99548433524863,1.04539872559091,3403.567072
"SEN",2011,-6.38650668718259,3.92800313481311,1.03878080974811,3362.879405
"SEN",2012,-6.35600950278663,3.87843271216579,1.03292938163928,3405.108645
"SEN",2013,-6.32163099361376,3.81840464982645,1.02857603947244,3385.425907
"SEN",2014,-6.2929848395703,3.77142727898315,1.025318038757,3484.012197
"SEN",2015,-6.26083297028433,3.7152978742171,1.02397223802348,3593.794771
"SEN",2016,-6.21641563513618,3.79265533842201,1.05844900060269,3710.055316
"SEN",2017,-6.17825488703566,3.72039343128481,1.05764225326279,3871.451468
"SEN",2018,-6.13646490197512,3.64025461291183,1.05752891879915,3998.286353
"SEN",2019,-6.10361473584121,3.41415232125809,1.02406411640302,4070.612271
"SRB",2001,2.53651536888675,-6.31984936388018,1.43411863563083,11868.46535
"SRB",2002,2.61125479980579,-6.45508475388006,1.44012312587626,12650.52304
"SRB",2003,2.0833489558027,-6.61390478025992,1.51106150841208,13261.72185
"SRB",2004,2.00153137375884,-6.79624579370637,1.25046880323692,14181.5667
"SRB",2005,0.922777153584407,-7.5253635095114,0.332238363364531,15063.96413
"SRB",2006,0.931732165239176,-7.75961991895945,0.097147784792603,15713.22254
"SRB",2007,0.982880764918214,-7.99441887424256,0.0271249160176847,17012.73331
"SRB",2008,1.05837485824907,-8.10356864900819,0.0118233273377028,17967.06646
"SRB",2010,0.387740951867504,-8.75608511788189,0.721823669982204,17825.34447
"SRB",2015,0.777034731287919,-9.27535232903207,0.700109284718153,18231.35591
"SRB",2019,1.08174096162885,-9.95466441727299,0.622579941734556,21521.70175
"SYC",2001,-1.37847253726228,-0.391257795346125,1.7551194899181,20147.41877
"SYC",2002,-1.2895461834807,-0.723011433978826,1.70100908105036,19777.75252
"SYC",2003,-1.16596115900519,-0.928382973302269,1.7004707000896,18825.22069
"SYC",2004,-1.01465958312739,-0.975409721078838,1.77603976362988,18356.47114
"SYC",2005,-0.711560258992452,-1.20808705746366,1.84958625773909,19917.11945
