"","Antibiotic","Gradient"
"280","J01C",-0.135690338752328
"281","J01C",0.0535431796802003
"282","J01C",-0.0350044399523546
"283","J01C",-0.192309037092213
"284","J01C",-0.230877034997159
"285","J01C",-0.0434381630222947
"286","J01C",-0.00343696597375013
"287","J01C",-0.13845216789336
"288","J01C",-0.110528533981601
"289","J01C",-0.199962524753325
"290","J01C",-0.0364313843878728
"291","J01C",-0.0541988089658088
"292","J01C",-0.0144212570634193
"293","J01C",-0.0210721185473196
"294","J01C",-0.0902636601864579
"295","J01C",0.034681663683834
"296","J01C",-0.0503442942078673
"297","J01C",0.0396077767081077
"298","J01C",-0.0433646419732444
"299","J01C",-0.11075790195934
"300","J01C",-0.036730056835125
"301","J01C",0.0367303663875132
"302","J01C",-0.147132974573786
"303","J01C",-0.0206223637278962
"304","J01C",-0.109777800389032
"305","J01C",0.0302456841592907
"306","J01C",0.0680699820256299
"307","J01C",-0.0676358430137027
"308","J01C",-0.0244429458439087
"309","J01C",-0.138774005638304
"310","J01C",0.0422947628073761
"311","J01C",-0.137858211704418
"312","J01C",0.075928224708239
"313","J01C",-0.016792968899335
"314","J01C",0.0396791625656778
"315","J01C",-0.0165040163251406
"316","J01C",-0.0609984956149316
"317","J01C",-0.0531085603225278
"318","J01C",-0.171034390874035
"319","J01C",-0.178660803739603
"320","J01C",-0.046855599937524
"321","J01C",0.00325751314862232
"322","J01C",-0.0824242184906842
"323","J01C",0.133172189690841
"324","J01C",-0.184887619627109
"325","J01C",-0.0240911459834104
"326","J01C",-0.0303709801918355
"327","J01C",-0.0761476610345374
"328","J01C",-0.0552207627937611
"329","J01C",0.000721717331274645
"330","J01C",-0.16487221679866
"331","J01C",-0.0443606503682109
"332","J01C",-0.0372610252442704
"333","J01C",-0.0145128345225395
"334","J01C",-0.00299433926740719
"335","J01C",0.0573019255591373
"336","J01C",0.0493716409899064
"337","J01C",-0.156122854303864
"338","J01C",-0.0268993055867283
"339","J01C",-0.126626564433263
"340","J01C",-0.140484769263532
"341","J01C",-0.119551094096435
"342","J01C",-0.020520409675719
"343","J01C",0.0893870241054398
"344","J01C",-0.0370657673595229
"345","J01C",-0.234208607684723
"346","J01C",-0.147640047849546
"347","J01C",-0.12680022538575
"348","J01C",-0.151776477704707
"349","J01C",-0.104720766688532
"350","J01C",-0.110023916757918
"351","J01C",-0.0504039623742926
"352","J01C",-0.147518752745935
"353","J01C",-0.00882525331592526
"354","J01C",-0.168469628479067
"355","J01C",-0.127800984478911
"356","J01C",-0.159394947320107
"357","J01C",-0.119914790243588
"358","J01C",-0.140420266840029
"359","J01C",-0.00152308327943785
"360","J01C",-0.112956748138612
"361","J01C",-0.126233698457427
"362","J01C",-0.155997913670603
"363","J01C",-0.0688150758678805
"364","J01C",-0.0256608599807209
"365","J01C",-0.147011173605051
"366","J01C",-0.0643244146955147
"367","J01C",-0.074054826733842
"368","J01C",-0.139403953115147
"369","J01C",-0.119086666530711
"370","J01C",-0.0790836394208924
"371","J01C",-0.0490169678977054
"372","J01C",-0.0653519081458418
"373","J01C",-0.100843271685699
"374","J01C",0.101065246557337
"375","J01C",0.0495452407885325
"376","J01C",-0.129943510907577
"377","J01C",-0.114726891387417
"378","J01C",-0.0450969923482683
"379","J01C",-0.0570128730198725
"380","J01C",-0.126938140596574
"381","J01C",0.0279980394190353
"382","J01C",-0.159433014100413
"383","J01C",-0.00650513062414818
"384","J01C",-0.0504109842307355
"385","J01C",-0.190718539471508
"386","J01C",-0.0782202729138774
"387","J01C",-0.102587861469815
"388","J01C",-0.191612306212336
"389","J01C",0.0117077289602879
"390","J01C",-0.0935269852871123
"391","J01C",-0.0486258173292702
"392","J01C",-0.0196912931763754
"393","J01C",-0.0416446099487186
"394","J01C",-0.280297194995265
"395","J01C",-0.0734533080801993
"396","J01C",-0.0338272102631481
"397","J01C",-0.0193908571213137
"398","J01C",-0.161932134495455
"399","J01C",-0.138121646048923
"400","J01C",0.0237002990290925
"401","J01C",-0.113453824336115
"402","J01C",-0.0460790374212569
"403","J01C",0.0112592160759198
"404","J01C",-0.170935070314469
"405","J01C",-0.0629598967898613
"406","J01C",0.203441141886628
"407","J01C",-0.0748731762255973
"408","J01C",-0.0261908828125293
"409","J01C",-0.0464535770653985
"410","J01C",-0.0263232151208432
"411","J01C",-0.115688639172269
"412","J01C",-0.208008572920808
"413","J01C",-0.062263242457619
"414","J01C",-0.0583637967728802
"415","J01C",-0.0713831717493827
"416","J01C",-0.0818561305300397
"417","J01C",-0.120394423919046
"418","J01C",-0.13503210830514
"419","J01C",-0.0115866753001804
"420","J01C",-0.0338044494441675
"421","J01C",-0.0475115206180063
"422","J01C",-0.167490628579173
"423","J01C",-0.10910874208027
"424","J01C",-0.0897335269428077
"425","J01C",-0.116906838392377
"426","J01C",-0.105577268792338
"427","J01C",-0.123729508346653
"428","J01C",-0.0616664511948073
"429","J01C",0.0766269202046776
"430","J01C",-0.0367450694719475
"431","J01C",-0.16807091533314
"432","J01C",-0.0650612012082183
