"region","drug","avertable_burden","lower_bound","upper_bound","avertable_burden_per_100k","lower_bound_per_100k","upper_bound_per_100k"
"Eastern Sub-Saharan Africa","J01D",239.066673500162,162.279201163034,322.774710901733,0.0581372368524877,0.0394637371078048,0.078493708650171
"High-income Asia Pacific","J01D",95.546084648335,46.0962842530401,147.107371798268,0.051794203395566,0.0249881544719414,0.079744859917077
"High-income North America","J01D",161.450462832785,79.6853109628136,241.348753754874,0.0441601456877418,0.0217956324159654,0.0660140326659125
"North Africa and Middle East","J01D",414.678710114385,261.333057734156,579.922171966871,0.0660826288003907,0.041645676583574,0.0924155995677524
"Oceania","J01D",10.4868047646515,6.87347682535208,13.9219459352018,0.0593711173507606,0.0389142363536005,0.0788191927302728
"South Asia","J01D",2745.36323759904,1848.31104526359,3676.3612484879,0.151168597726952,0.101773996624246,0.202432365619369
"Southeast Asia","J01D",508.5713766827,273.739254862001,734.300991087586,0.0774208190801959,0.041671864162031,0.111784081424759
"Southern Latin America","J01D",64.0944221392191,39.0725718323135,89.7918920627742,0.0957453332213654,0.0583672694914817,0.134132648976121
"Southern Sub-Saharan Africa","J01D",69.7579972491006,42.1459650083982,96.7379241874723,0.0851990953358722,0.051475074290771,0.118151093071255
"Tropical Latin America","J01D",187.310476942549,116.494200704774,264.529007139021,0.088131739041973,0.0548118645790719,0.124463947808744
"Western Europe","J01D",152.964827096689,105.233900559767,203.69975266208,0.0360026101107914,0.0247684069874198,0.0479438503213676
"Western Sub-Saharan Africa","J01D",411.084466793786,298.272125049077,527.437800398667,0.0938087277104969,0.0680651564886204,0.1203603468351
"Andean Latin America","J01G",21.5880541594454,14.946711923368,28.1304606007521,0.0357090000356218,0.024723494422514,0.0465308550356223
"Australasia","J01G",1.16779155639535,0.758738814112951,1.61339205613816,0.00467804144953896,0.00303942223452144,0.00646306686466228
"Caribbean","J01G",11.1118611570578,6.93542211655292,15.4857352615581,0.0256913269580293,0.0160351353090059,0.0358040009829925
"Central Asia","J01G",17.3729864711051,12.2576625585024,23.2359062138148,0.0192288656290905,0.0135670943309716,0.0257180951069475
"Central Europe","J01G",33.0411008137146,21.9813195284091,45.9309775548745,0.0295650442488823,0.0196687963930211,0.0410988541653138
"Central Latin America","J01G",36.2194339472659,21.0533519216409,53.1173419653895,0.0143646709916078,0.00834978465056143,0.0210664016006561
"Central Sub-Saharan Africa","J01G",56.2128562944686,42.9889288224665,71.2026067967442,0.0414746936687427,0.0317178804207931,0.0525343577960385
"East Asia","J01G",81.8670786673419,12.4435717450882,164.358099521509,0.00549098177835823,0.000834614191958818,0.0110238125543157
"Eastern Europe","J01G",79.8602489836672,53.8645024900653,111.320412973336,0.0382433348978927,0.0257945377587946,0.0533089226303526
"Eastern Sub-Saharan Africa","J01G",191.090935614456,149.241973080656,233.397709780159,0.0464702955938088,0.0362932892748717,0.0567586344664978
"High-income Asia Pacific","J01G",17.1995369035705,9.53874937048008,24.9225969522856,0.00932362970154,0.00517082334511529,0.013510193122444
"High-income North America","J01G",34.4458548624532,21.6206033418224,47.6511909300942,0.00942167611275409,0.00591369623028342,0.0130336172268938
"North Africa and Middle East","J01G",94.0379974164467,61.5104334629102,129.695033265818,0.0149857659070295,0.00980221806120549,0.0206680220891862
"Oceania","J01G",3.16142440523354,2.33246778017091,4.03676574794594,0.0178984260288093,0.0132052823907032,0.0228541770651334
"South Asia","J01G",661.054706446746,468.653624747786,869.137824937427,0.036399814649573,0.025805587509336,0.0478575455618573
"Southeast Asia","J01G",95.0348692114927,52.4645863580625,140.617578798437,0.0144673447088697,0.00798678697774821,0.0214064900755145
"Southern Latin America","J01G",15.1320623195412,9.80786288083096,20.5961956493529,0.0226045309522248,0.0146511516661294,0.0307669458546077
"Southern Sub-Saharan Africa","J01G",11.7075790417689,7.32825607917713,15.8043235132706,0.0142990794212456,0.00895038293754265,0.0193026479948644
"Tropical Latin America","J01G",50.9200676403769,34.1646342609266,68.524465593783,0.0239584789197763,0.0160748543290077,0.0322415511309293
"Western Europe","J01G",54.4063587992374,37.5803489599128,71.9235638478188,0.0128053681396877,0.00884510953995984,0.0169283100967706
"Western Sub-Saharan Africa","J01G",298.718335913389,239.589498911381,358.701491492636,0.0681669809963626,0.0546738879261684,0.0818550280121906
"Andean Latin America","J01M",113.639119300969,95.3985734152778,132.691860280488,0.187971518192198,0.157799662550594,0.219486833249838
"Australasia","J01M",13.9175462064631,11.1567972498256,16.9136212868432,0.055752122605403,0.0446928732212181,0.0677540619371204
"Caribbean","J01M",106.744151181148,85.5696262583898,131.167655263057,0.24679924002743,0.197842396949348,0.30326792875205
"Central Asia","J01M",148.943002129587,122.035289061783,181.060151423709,0.164853923020467,0.135071778204578,0.200402005049614
"Central Europe","J01M",260.980246134948,212.045388999793,311.410763029066,0.23352407562224,0.189737362078087,0.278649099509148
"Central Latin America","J01M",444.838156349389,371.351226226932,534.745704866214,0.176423346918559,0.147278342197356,0.212080788610955
"Central Sub-Saharan Africa","J01M",282.19537380956,239.05533584154,328.317783024268,0.208208005339155,0.176378634310421,0.242237814879942
"East Asia","J01M",2030.51651768204,1509.60157731989,2697.60033110108,0.136190632189924,0.101251869354306,0.180933221320356
"Eastern Europe","J01M",520.961024520192,427.157264023093,622.009991335388,0.249476894738328,0.204556315688969,0.297867045384989
"Eastern Sub-Saharan Africa","J01M",823.050777557013,712.948273951962,941.467988319801,0.200152941837892,0.173377752990274,0.228950136062969
"High-income Asia Pacific","J01M",291.845949768589,235.400677274173,356.810854469411,0.158205629651092,0.127607432612939,0.193422200796131
"High-income North America","J01M",509.338907376731,426.252702014667,598.611675329387,0.139315056516668,0.11658920693375,0.163733062941464
"North Africa and Middle East","J01M",842.583869562037,685.645439588003,1027.56621436019,0.134273006371863,0.109263514060021,0.163751538372096
"Oceania","J01M",22.7239517233686,19.0261001530428,26.7421199398769,0.128651809079996,0.107716396964044,0.151400696092897
"South Asia","J01M",5631.86835262985,4650.46477542054,6717.46143354599,0.310108924673448,0.256069662932371,0.369885198172213
"Southeast Asia","J01M",1303.03367413375,1078.97927851779,1540.65856263798,0.19836337427903,0.164255133779431,0.23453747755208
"Southern Latin America","J01M",139.531497312557,114.354904779895,166.052246295782,0.208434513631292,0.170825293344035,0.248051657587495
"Southern Sub-Saharan Africa","J01M",137.773658354897,112.000083325561,167.836224071741,0.168270184292054,0.136791567321023,0.204987170208437
"Tropical Latin America","J01M",412.273160429133,335.838381750441,490.643224440005,0.193979275382947,0.15801583074174,0.230853294086275
"Western Europe","J01M",569.850736032151,468.591054568057,689.518865881096,0.13412308084227,0.110290067064597,0.162288804318791
"Western Sub-Saharan Africa","J01M",1266.17868026439,1097.29871282409,1438.85286866501,0.288939672121793,0.250401570682626,0.328343607883809
"Andean Latin America","Other",0,0,0,0,0,0
"Australasia","Other",0,0,0,0,0,0
"Caribbean","Other",0,0,0,0,0,0
"Central Asia","Other",0,0,0,0,0,0
"Central Europe","Other",0,0,0,0,0,0
"Central Latin America","Other",0,0,0,0,0,0
"Central Sub-Saharan Africa","Other",0,0,0,0,0,0
"East Asia","Other",0,0,0,0,0,0
"Eastern Europe","Other",0,0,0,0,0,0
"Eastern Sub-Saharan Africa","Other",0,0,0,0,0,0
"High-income Asia Pacific","Other",0,0,0,0,0,0
"High-income North America","Other",0,0,0,0,0,0
"North Africa and Middle East","Other",0,0,0,0,0,0
"Oceania","Other",0,0,0,0,0,0
"South Asia","Other",0,0,0,0,0,0
"Southeast Asia","Other",0,0,0,0,0,0
"Southern Latin America","Other",0,0,0,0,0,0
"Southern Sub-Saharan Africa","Other",0,0,0,0,0,0
"Tropical Latin America","Other",0,0,0,0,0,0
"Western Europe","Other",0,0,0,0,0,0
"Western Sub-Saharan Africa","Other",0,0,0,0,0,0
"Andean Latin America","J01E",5.89666231146485,-6.1867248310546,17.347675169811,0.00975372366286292,-0.0102335187590704,0.028694949933026
"Australasia","J01E",0.42368886027529,-1.18522621351458,1.90912907698406,0.00169724985526845,-0.0047478827223377,0.00764775606206554
"Caribbean","J01E",4.07602349349477,-1.87345293378081,9.79204583098097,0.0094240245427716,-0.00433154187061372,0.0226398303106904
"Central Asia","J01E",6.49197608081303,-4.01008183039937,17.0596746377775,0.00718548511695713,-0.00443846110204804,0.0188820840810198
"Central Europe","J01E",5.04357102345117,-12.5031322471734,20.241611395978,0.00451296708670254,-0.0111877524971527,0.0181121125462736
"Central Latin America","J01E",11.3476228678118,-15.7943300967082,35.453078795378,0.00450048085429192,-0.0062640502803658,0.014060733618218
"Central Sub-Saharan Africa","J01E",18.2641193582835,-12.2578274398475,49.8455150462144,0.0134755428819706,-0.00904401006504289,0.0367767732077666
