"Antibiotic","Pathogen","Response","Lower_CI","Upper_CI","R_squared","White_test_p_value","RMSE","AIC","BIC","Model_Singular","Bootstrap_Singular_Proportion","Variation_Explained.Consumption","Variation_Explained.PC1","Variation_Explained.PC2","Variation_Explained.PC3","Variation_Explained.GDP","Variation_Explained.Year","VIF.Consumption","VIF.PC1","VIF.PC2","VIF.PC3","VIF.GDP","VIF.Year"
"J01D","Salmonella spp.",-0.210134061443443,-0.66777474552009,0.417033304391809,0.13683299786575,0.068040056470728,0.837267776004663,197.861224953769,215.617286595178,FALSE,0,0.249867555023479,0.0462626933281444,0.138950530980529,0.0812804859662341,0.0627326171388338,0.42090611756278,1.32500542588736,66.7604009112941,69.9361232508488,1.58099418090122,2.04563492227114,1.02007373837161
"J01E","Acinetobacter spp.",0.110940273295126,-0.0816098594024769,0.307663669091266,0.409057475662235,0.0722167658219858,0.903977142261956,109.339356031222,122.582098117996,FALSE,0,0.060389595675279,0.197095955156269,0.118843363961812,0.0405020755392387,0.583169009667401,NA,1.16096380775612,10.0699740653913,10.7232908392307,1.09596097757393,1.74599452512298,NA
"J01E","E. coli",0.0014133715496539,-0.361370080683774,0.24204323144919,0.603892503559152,0.064810122582977,0.422335625962175,242.575880666318,261.731473903697,FALSE,0,7.75795068408975e-05,0.0672629487106915,0.0140754783688634,0.0582312361281632,0.762563566185681,0.0977891910997599,2.03092815481258,18.4044741982425,25.3345698207563,2.46391447672484,3.95137964954166,1.13997283032028
"J01E","K. pneumoniae",0.0875583195145609,-0.300645522624508,0.375331055780368,0.681848913483769,3.24607893454266e-07,0.533495197041154,230.174030197787,249.52475506016,FALSE,0,0.0325358788862233,0.163170780704084,0.159443067060428,0.182841789677277,0.45522654333968,0.0067819403323078,2.07532075221011,21.7353121011611,25.1975345024095,2.02922256098013,2.78581228224727,1.07925542165319
"J01E","Morganella spp.",-0.12964130522036,-0.427316499806017,0.346139540826984,0.238079363764587,0.679538353145248,1.28062465614436,167.867300689933,181.390080119003,FALSE,0,0.0894930037292603,0.0575322855432164,0.286545227411536,0.464743094358358,0.101686388957629,NA,1.35012580755537,11.0717561436178,12.1305905629596,1.23056718929384,2.05708469426159,NA
"J01E","S. aureus",-0.0875409436635583,-0.31716818534606,0.483251107133615,0.187217230057747,7.33662340306072e-05,0.722711665320797,414.124223324708,439.800112547439,FALSE,0,0.138934207071277,0.548595201298874,0.0793012940210055,0.0199964159029446,0.0361313175751533,0.177041564130745,1.28711465483092,9.78316532482349,10.9680974112908,1.10303487070008,1.84880094077759,1.0151376990827
"J01F","E. faecalis",0.0930944663964059,0.00714774785865127,0.257502561156277,0.557774026224594,0.00110799391463789,0.306001742976754,47.7925985903223,72.1914466483186,FALSE,0,0.0202975129801611,0.00034990257393671,0.000151427490585792,0.00136849483548518,0.0131088087958347,0.964723853323997,1.7878199040346,9.68446932439589,11.7105718548156,1.16180797506415,1.81830882115345,1.127566230929
"J01F","E. faecium",0.042179139344166,-0.0574247980023508,0.110376196087337,0.0933048592971006,0.285301540598202,0.516953866588733,-21.0649145885468,3.12612957822341,FALSE,0,0.0922945870734957,5.81671276889363e-05,0.0170955864753031,0.135512651910041,0.0149566474467019,0.740082359966769,1.54106722079009,7.65985903502756,8.90921506961229,1.21302811009608,1.69228660659177,1.08832505506029
"J01F","S. agalactiae",-0.19944981905912,-0.821563408163131,0.60665881130349,0.110087079070465,0.282530405879766,1.50095133687662,918.839326167806,947.537315435008,FALSE,0,0.0558382623024402,0.181646952411305,0.488579603073335,0.0370621290220583,0.0135977464187211,0.223275306772141,1.91238302101782,9.60107445197687,11.9765619538179,1.155320383899,1.83727562712271,1.0554339244732
"J01F","S. aureus",0.197436487245861,-0.16692873968758,0.566553658979493,0.250352080781762,0.032781760663534,0.592129007158417,367.126286872109,396.060455653442,FALSE,0,0.0968404772765735,0.257636484021012,0.354929731146626,0.0374621705596876,0.0772171233546874,0.175914013641413,1.97286681310489,9.35552433140379,10.9826631139765,1.18092964015723,1.77564320971244,1.05614636197564
